COGS Delta;VK Delta;VK (EUR);COGS (EUR);CM (EUR);CM (%)
-20%;-10%;2.88;1.42;1.38;48.1
-20%;-5%;3.04;1.42;1.54;50.7
-20%;+0%;3.2;1.42;1.7;53.0
-20%;+5%;3.36;1.42;1.85;55.1
-20%;+10%;3.52;1.42;2.01;57.0
-10%;-10%;2.88;1.6;1.21;41.9
-10%;-5%;3.04;1.6;1.36;44.8
-10%;+0%;3.2;1.6;1.52;47.4
-10%;+5%;3.36;1.6;1.67;49.8
-10%;+10%;3.52;1.6;1.83;52.0
+0%;-10%;2.88;1.78;1.03;35.7
+0%;-5%;3.04;1.78;1.18;38.9
+0%;+0%;3.2;1.78;1.34;41.9
+0%;+5%;3.36;1.78;1.5;44.5
+0%;+10%;3.52;1.78;1.65;46.9
+10%;-10%;2.88;1.96;0.85;29.5
+10%;-5%;3.04;1.96;1.01;33.1
+10%;+0%;3.2;1.96;1.16;36.3
+10%;+5%;3.36;1.96;1.32;39.2
+10%;+10%;3.52;1.96;1.47;41.9
+20%;-10%;2.88;2.14;0.67;23.3
+20%;-5%;3.04;2.14;0.83;27.2
+20%;+0%;3.2;2.14;0.98;30.8
+20%;+5%;3.36;2.14;1.14;33.9
+20%;+10%;3.52;2.14;1.3;36.8
