"Rubrik";"Kontonummer";"Kontobezeichnung";"Betrag";"Ergebnis"
"Umsatzerlöse";"4400";"Umsätze / Erlöse 19/16% Umsatzsteuer";"16000,00";""
"Sonstige betriebliche Erträge";"4989";"Kostenerstattungen, Rückvergütungen und Gutschriften für frühere Jahre";"5600,00";""
"Gesamtleistung";"";"";"";"21600,00"
"Personalkosten";"6020";"Gehälter";"-402,71";""
"Raumkosten";"6310";"Büromiete / betriebliche Räume und Nutzungsflächen";"-720,00";""
"Versich./Beiträge";"6400";"Versicherungen";"-610,08";""
"Versich./Beiträge";"6420";"Sonstige Beiträge";"-225,00";""
"Kfz-Kosten";"6530";"Laufende Kfz - Betriebskosten";"-152,88";""
"Kfz-Kosten";"6595";"Fremdfahrzeugkosten";"-1411,76";""
"Werbe-/Reisekosten";"6600";"Werbekosten";"-15844,00";""
"Werbe-/Reisekosten";"6630";"Repräsentationskosten";"-16,72";""
"Werbe-/Reisekosten";"6640";"Bewirtungskosten";"-1374,80";""
"Werbe-/Reisekosten";"6650";"Reisekosten Arbeitnehmer";"-13,70";""
"Werbe-/Reisekosten";"6663";"Reisekosten Arbeitnehmer Fahrtkosten";"-39,60";""
"Kosten Warenabgabe";"6780";"Fremdleistungen (Marketing und Vertrieb)";"-375,00";""
"Sonstige Kosten";"6303";"Fremdleistungen (Administrativ)";"-5097,61";""
"Sonstige Kosten";"6800";"Porto";"-5,95";""
"Sonstige Kosten";"6805";"Telefon";"-1090,84";""
"Sonstige Kosten";"6810";"Internetkosten";"-256,27";""
"Sonstige Kosten";"6815";"Bürobedarf";"-40,49";""
"Sonstige Kosten";"6825";"Rechts- und Beratungskosten";"-1186,24";""
"Sonstige Kosten";"6830";"Buchführungskosten";"-329,45";""
"Sonstige Kosten";"6837";"Softwarekosten (z.B. Gebühren Softwarenutzung, SaaS)";"-2406,55";""
"Sonstige Kosten";"6850";"Sonstiger Betriebsbedarf";"-713,44";""
"Sonstige Kosten";"6855";"Nebenkosten des Geldverkehrs";"-366,15";""
"Sonstige Kosten";"6880";"Aufwendungen aus der Währungsumrechnung";"-75,51";""
"Gesamtkosten";"";"";"";"-32754,75"
"Betriebsergebnis";"";"";"";"-11154,75"
"Sonst. neutraler Ertrag";"4830";"Sonstige betriebliche Erträge (neutral)";"198,15";""
"Neutraler Ertrag";"";"";"";"198,15"
"Ergebnis";"";"";"";"-10956,60"
